"idx","in_time","out_time","location","fd_reg_date"
4764,"2017-04-21 12:34:43","2017-04-21 12:36:02","P1","2017-04-21 20:09:34"
4763,"2017-04-21 12:28:45","2017-04-21 12:34:12","C1","2017-04-21 20:09:34"
4762,"2017-04-21 12:24:38","2017-04-21 12:28:45","C1","2017-04-21 20:09:34"
4761,"2017-04-21 12:15:44","2017-04-21 12:24:19","C5","2017-04-21 20:09:34"
4760,"2017-04-21 12:12:58","2017-04-21 12:15:44","C5","2017-04-21 20:09:34"
4759,"2017-04-21 12:10:56","2017-04-21 12:12:17","C5","2017-04-21 20:09:34"
4758,"2017-04-21 12:10:21","2017-04-21 12:10:56","C5","2017-04-21 20:09:34"
4757,"2017-04-21 12:01:39","2017-04-21 12:09:43","T1","2017-04-21 20:09:34"
4756,"2017-04-21 12:00:21","2017-04-21 12:01:39","T1","2017-04-21 20:09:34"
4755,"2017-04-21 11:57:09","2017-04-21 12:00:10","C5","2017-04-21 20:09:34"
4754,"2017-04-21 11:56:36","2017-04-21 11:57:09","C5","2017-04-21 20:09:34"
4753,"2017-04-21 11:28:27","2017-04-21 11:44:13","O1","2017-04-21 20:09:34"
4752,"2017-04-21 11:27:11","2017-04-21 11:28:27","O1","2017-04-21 20:09:34"
4751,"2017-04-21 11:25:16","2017-04-21 11:25:52","C2","2017-04-21 20:09:34"
4750,"2017-04-21 11:24:39","2017-04-21 11:25:16","C2","2017-04-21 20:09:34"
4749,"2017-04-21 11:23:57","2017-04-21 11:24:17","P1","2017-04-21 20:09:34"
4748,"2017-04-21 11:23:21","2017-04-21 11:23:57","P1","2017-04-21 20:09:34"
4747,"2017-04-21 11:21:12","2017-04-21 11:23:04","C2","2017-04-21 20:09:34"
4746,"2017-04-21 11:21:01","2017-04-21 11:21:12","C2","2017-04-21 20:09:34"
4745,"2017-04-21 11:20:00","2017-04-21 11:20:31","C4","2017-04-21 20:09:34"
4744,"2017-04-21 11:19:51","2017-04-21 11:20:00","C4","2017-04-21 20:09:34"
